rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
0,1,1.03491,0.033609,0.0522318,1.84021,0
1,1,1.16396,0.0544806,-0.137091,1.72108,0
2,1,1.61288,-0.131124,-0.116004,1.4583,0
3,1,0.992114,-0.891598,0.397496,1.74527,0
4,1,1.07676,-0.739217,0.370862,1.23159,0
5,1,1.13681,-0.778378,0.263411,1.66165,0
6,1,0.933972,-0.6288,0.354323,1.32969,0
7,1,0.996901,-0.138194,0.0994745,1.7194,0
8,1,1.53485,-0.162661,-0.128986,1.76186,0
9,1,1.46305,-0.0570269,-0.0548109,1.88745,0
0,2,1.28384,-0.782282,0.0799092,-0.427609,0
1,2,0.70492,-0.58832,-0.720447,0.254372,0
2,2,0.775289,-0.32017,-0.962297,-0.393919,0
3,2,1.10355,-0.117404,-1.29581,-0.235834,0
4,2,1.04494,-0.531656,-0.280304,-0.502718,0
5,2,0.739308,-0.629815,-0.356817,-0.255355,0
6,2,0.803334,-0.28447,-1.07601,-0.618641,0
7,2,0.700297,-0.301583,-0.814896,-0.486085,0
8,2,0.975992,-0.337347,-0.594921,-0.507504,0
9,2,0.776897,-0.356935,-1.04715,-0.641145,0
0,3,1.19435,0.185471,0.428233,-0.0560772,0
1,3,1.03624,-0.90155,1.39332,0.478436,0
2,3,1.16811,0.92219,-0.177749,-1.28004,0
3,3,1.25724,-0.697974,1.42726,0.173463,0
4,3,0.935923,0.689489,0.418209,-0.0507609,0
5,3,0.716405,0.620495,-0.316184,-0.185331,0
6,3,0.617466,0.70624,0.506372,-0.760572,0
7,3,0.587536,-0.218004,1.01203,0.237269,0
8,3,1.07464,0.308807,0.0176229,-0.0480499,0
9,3,1.14766,0.876504,-0.878187,-1.50414,0
0,4,-0.257125,-0.980396,0.574777,-0.116553,0
1,4,-0.0109859,-0.510556,-0.258247,-0.278944,0
2,4,-0.140881,-0.514644,0.182551,-0.158066,0
3,4,-0.505343,-0.125996,-0.413578,-0.347146,0
4,4,-0.806509,-0.0306842,-0.179366,-0.0753592,0
5,4,-0.0571194,0.412707,-0.961802,-0.852042,0
6,4,-0.283694,0.28314,-2.13791,-1.87026,0
7,4,-0.558782,-0.526482,0.696297,0.0041266,0
8,4,-0.40593,-0.606587,0.407634,-0.080442,0
9,4,-0.524556,0.371864,-0.769207,-0.96122,0
0,5,-0.493148,-0.629121,-1.85267,-0.507809,0
1,5,-0.711472,-0.249149,-2.49183,-0.436398,0
2,5,-0.57821,-0.260746,-2.3724,0.0253935,0
3,5,-0.89603,-0.938567,-1.23353,-0.153771,0
4,5,-0.660166,-0.378886,-2.2718,1.35308,0
5,5,-0.318545,-0.8726,-1.40867,-0.46942,0
6,5,-0.615131,-0.619232,-2.14638,0.74075,0
7,5,-0.409126,-1.35548,-0.932814,-0.302301,0
8,5,-0.351146,-0.30387,-2.29753,0.228847,0
9,5,-0.639552,-0.676658,-1.54726,-0.08777,0
0,6,0.518942,0.498214,-0.255149,-0.786367,0
1,6,0.617686,0.704561,-0.817422,-1.53594,0
2,6,0.245326,0.176224,0.489383,-0.24619,0
3,6,0.203487,-0.190915,1.51009,-0.00211985,0
4,6,0.368045,1.24845,-2.08735,-0.048242,0
5,6,0.391906,0.868784,0.233988,-1.05811,0
6,6,0.216279,0.411337,0.981557,-0.847814,0
7,6,0.0246379,-0.305908,0.433491,0.139873,0
8,6,0.470144,1.08455,-0.534994,-1.35191,0
9,6,0.243793,-1.07085,1.60287,0.324845,0
0,7,-1.74463,2.37105,0.841165,0.142874,0
1,7,-1.73695,1.94327,1.78078,1.01008,0
2,7,-1.64048,2.99923,-0.0404345,1.10021,0
3,7,-1.7934,2.45117,0.735092,0.554433,0
4,7,-1.58751,2.64668,-0.298694,0.367603,0
5,7,-1.52537,2.44247,-0.714723,1.26552,0
6,7,-1.75016,0.084957,1.9318,1.43777,0
7,7,-1.74372,2.31263,0.0665697,0.5537,0
8,7,-1.61579,2.47737,0.270504,0.399239,0
9,7,-1.56583,2.28827,0.314107,0.794643,0
0,8,-1.31567,-0.158597,2.79011,-1.17344,0
1,8,-1.2048,-0.685237,0.778747,-0.520857,0
2,8,-1.13202,-0.00629417,0.759744,-1.36981,0
3,8,-1.27329,-0.384922,0.27471,-0.65837,0
4,8,-1.10689,-0.0533588,2.18485,-1.80261,0
5,8,-1.29335,-0.718025,0.194516,-0.745676,0
6,8,-1.23929,-0.776376,1.20468,-0.467368,0
7,8,-1.34107,-1.18507,1.37508,0.0360128,0
8,8,-1.18096,-0.635191,1.40392,-0.649183,0
9,8,-1.40781,0.416574,-0.774658,-1.74513,0
0,9,1.12129,0.849289,-0.455501,0.705624,0
1,9,1.09247,0.141552,-0.268664,0.452398,0
2,9,1.23159,-0.304934,0.900514,0.228137,0
3,9,0.865959,0.389986,-0.221601,0.0785286,0
4,9,1.06803,-2.33596,0.905852,0.761131,0
5,9,1.06834,-1.17111,0.463897,0.652814,0
6,9,0.692057,-0.536216,0.371312,0.873351,0
7,9,1.01756,-0.229475,0.145642,0.0826618,0
8,9,1.716,-1.18102,0.290583,0.457071,0
9,9,1.42821,-0.602112,0.117302,0.372948,0
0,10,1.62128,-0.108702,2.33388,-0.0332432,0
1,10,1.86443,0.729925,0.34207,-0.37176,0
2,10,1.59257,0.798082,-0.532679,-0.0302524,0
3,10,1.20842,0.381282,0.951482,0.292846,0
4,10,1.39136,1.1686,1.35432,-0.364965,0
5,10,1.36261,0.399396,0.560503,0.372796,0
6,10,1.20382,0.558035,0.323575,0.420252,0
7,10,1.29421,-0.42826,0.776897,0.395566,0
8,10,1.45694,1.13817,0.463343,-1.18762,0
9,10,1.13555,1.19103,-0.00930582,-0.278747,0
0,11,0.678548,-0.963104,0.271941,0.747677,0
1,11,0.772098,0.564937,-0.672946,1.55838,0
2,11,0.613132,0.738494,-0.395759,0.944565,0
3,11,0.47954,1.26892,-0.980467,1.42606,0
4,11,0.361233,0.117376,-0.0790947,0.983733,0
5,11,0.905926,0.406569,-0.301215,0.694512,0
6,11,0.870475,0.663807,-0.85569,1.83419,0
7,11,0.49112,0.605246,-0.476782,0.804627,0
8,11,0.59185,0.145141,0.0405803,0.241688,0
9,11,0.670793,0.434529,-0.629868,1.13383,0
0,12,0.199552,0.098319,-1.98149,-1.89497,0
1,12,0.326767,-0.0379535,-2.11227,-1.0089,0
2,12,0.292337,0.092879,-2.16644,0.998614,0
3,12,0.501818,-0.496157,0.608569,-1.39758,0
4,12,0.235311,0.0573149,-2.3952,-1.37427,0
5,12,0.0411433,-0.40484,1.60177,-0.966427,0
6,12,0.379608,-0.605246,-0.42158,-1.1212,0
7,12,0.372276,-0.938383,0.0124033,-1.08058,0
8,12,0.437683,-1.70799,2.39819,-0.342338,0
9,12,0.361166,-0.674561,0.44816,-1.10892,0
0,13,-0.786418,0.834992,0.946301,1.8897,0
1,13,-0.558187,0.223547,1.09006,1.56189,0
2,13,-0.765824,2.05079,0.619132,2.15902,0
3,13,-0.312092,1.30111,0.501631,1.38252,0
4,13,-0.49829,1.37905,0.457124,1.88355,0
5,13,-0.692582,0.0309433,1.86783,1.34972,0
6,13,-0.207304,0.153343,1.33251,1.75721,0
7,13,-0.823769,1.53452,0.955163,1.52489,0
8,13,-0.866331,0.575004,0.937947,1.82527,0
9,13,-0.71935,-0.264486,1.37077,2.03913,0
0,14,-0.93957,0.280033,-0.361024,-0.750048,0
1,14,-0.949012,0.33097,0.256622,-1.01452,0
2,14,-1.24062,-0.641694,0.48431,0.13631,0
3,14,-1.02234,-0.173824,-0.188762,-0.390802,0
4,14,-1.03047,-0.2745,0.739162,-0.274251,0
5,14,-1.12833,-0.529542,0.54841,-0.143799,0
6,14,-1.18046,0.0163845,0.0840553,-0.240525,0
7,14,-0.985904,0.0162349,0.561799,-0.188345,0
8,14,-1.00933,0.477419,-0.339559,-0.774196,0
9,14,-1.02603,-1.64499,1.19528,0.386964,0
0,15,-1.13487,-1.58883,0.3292,-1.39763,0
1,15,-1.07084,-1.62653,-0.233383,-1.28797,0
2,15,-1.20095,-1.51863,-0.641827,-1.27574,0
3,15,-1.10289,-2.62423,0.633136,-0.632819,0
4,15,-1.15055,-1.09961,-1.49181,-1.55488,0
5,15,-1.12503,-1.14632,-1.36971,-1.80991,0
6,15,-1.19532,-1.00646,-1.27523,-1.69447,0
7,15,-1.48405,-1.12875,-1.30816,-0.788031,0
8,15,-1.11347,-1.3823,-1.10017,-1.2381,0
9,15,-1.15704,-1.29015,-0.507852,-1.3771,0
